st:1639093026.713411 | et: 1639093026.766127 | latency: 0.05271601676940918
st:1639093026.715403 | et: 1639093026.793356 | latency: 0.07795286178588867
st:1639093026.71438 | et: 1639093026.802273 | latency: 0.08789300918579102
st:1639093026.716289 | et: 1639093026.806474 | latency: 0.09018492698669434
st:1639093026.7171562 | et: 1639093026.8098922 | latency: 0.09273600578308105
st:1639093026.7179132 | et: 1639093026.814523 | latency: 0.09660983085632324
st:1639093026.718509 | et: 1639093026.824777 | latency: 0.10626792907714844
st:1639093026.719667 | et: 1639093026.825602 | latency: 0.10593509674072266
st:1639093026.7190862 | et: 1639093026.831678 | latency: 0.11259174346923828
st:1639093026.7228642 | et: 1639093026.832951 | latency: 0.11008691787719727
st:1639093026.721928 | et: 1639093026.838409 | latency: 0.11648106575012207
st:1639093026.721004 | et: 1639093026.839382 | latency: 0.1183779239654541
st:1639093026.7241979 | et: 1639093026.847015 | latency: 0.1228170394897461
st:1639093026.720285 | et: 1639093026.8502169 | latency: 0.12993192672729492
st:1639093026.726002 | et: 1639093026.865536 | latency: 0.13953399658203125
st:1639093026.729825 | et: 1639093026.8719501 | latency: 0.14212512969970703
st:1639093026.72703 | et: 1639093026.871101 | latency: 0.14407086372375488
st:1639093026.7305658 | et: 1639093026.881721 | latency: 0.1511552333831787
st:1639093026.725051 | et: 1639093026.876411 | latency: 0.15136003494262695
st:1639093026.731381 | et: 1639093026.907325 | latency: 0.17594408988952637
st:1639093026.73254 | et: 1639093026.913145 | latency: 0.18060517311096191
st:1639093026.734895 | et: 1639093026.912308 | latency: 0.1774129867553711
st:1639093026.733166 | et: 1639093026.9138932 | latency: 0.18072724342346191
st:1639093026.7355552 | et: 1639093026.92004 | latency: 0.18448472023010254
st:1639093026.736651 | et: 1639093026.9455519 | latency: 0.20890092849731445
st:1639093026.739854 | et: 1639093026.9551759 | latency: 0.21532177925109863
st:1639093026.7392142 | et: 1639093026.954387 | latency: 0.21517276763916016
st:1639093026.742078 | et: 1639093026.956265 | latency: 0.2141869068145752
st:1639093026.738716 | et: 1639093026.959056 | latency: 0.22034001350402832
st:1639093026.738229 | et: 1639093026.963369 | latency: 0.22513985633850098
st:1639093026.737654 | et: 1639093026.966215 | latency: 0.2285609245300293
st:1639093026.732003 | et: 1639093026.972712 | latency: 0.2407090663909912
st:1639093026.740854 | et: 1639093026.973547 | latency: 0.23269295692443848
st:1639093026.736114 | et: 1639093026.977885 | latency: 0.24177098274230957
st:1639093026.7437818 | et: 1639093026.982626 | latency: 0.2388441562652588
st:1639093026.742982 | et: 1639093026.9863539 | latency: 0.24337196350097656
st:1639093026.7371678 | et: 1639093026.987356 | latency: 0.25018811225891113
st:1639093026.750921 | et: 1639093027.0816169 | latency: 0.33069586753845215
st:1639093026.752264 | et: 1639093027.080541 | latency: 0.3282768726348877
st:1639093026.7467678 | et: 1639093027.125854 | latency: 0.3790862560272217
st:1639093026.757493 | et: 1639093027.121432 | latency: 0.3639390468597412
st:1639093026.749142 | et: 1639093027.1267729 | latency: 0.37763094902038574
st:1639093026.7501671 | et: 1639093027.124274 | latency: 0.37410688400268555
st:1639093026.754839 | et: 1639093027.1223109 | latency: 0.36747193336486816
st:1639093026.756706 | et: 1639093027.125131 | latency: 0.3684248924255371
st:1639093026.747763 | et: 1639093027.1233752 | latency: 0.3756122589111328
st:1639093026.748522 | et: 1639093027.128008 | latency: 0.3794858455657959
st:1639093026.75825 | et: 1639093027.128961 | latency: 0.370711088180542
st:1639093026.759818 | et: 1639093027.21468 | latency: 0.4548618793487549
st:1639093026.764055 | et: 1639093027.260513 | latency: 0.4964580535888672
st:1639093026.7619698 | et: 1639093027.2620459 | latency: 0.5000760555267334
st:1639093026.7605639 | et: 1639093027.2861881 | latency: 0.5256242752075195
st:1639093026.763285 | et: 1639093027.279265 | latency: 0.5159800052642822
st:1639093026.764847 | et: 1639093027.296018 | latency: 0.5311708450317383
st:1639093026.761271 | et: 1639093027.2912488 | latency: 0.5299777984619141
st:1639093026.7671628 | et: 1639093027.301408 | latency: 0.5342452526092529
st:1639093026.778102 | et: 1639093027.311328 | latency: 0.5332260131835938
st:1639093026.765601 | et: 1639093027.308023 | latency: 0.5424220561981201
st:1639093026.766518 | et: 1639093027.3223948 | latency: 0.5558767318725586
st:1639093026.77663 | et: 1639093027.312244 | latency: 0.535614013671875
st:1639093026.792039 | et: 1639093027.3287098 | latency: 0.5366709232330322
st:1639093026.767767 | et: 1639093027.316997 | latency: 0.5492300987243652
st:1639093026.794115 | et: 1639093027.332314 | latency: 0.5381989479064941
st:1639093026.7926002 | et: 1639093027.3458922 | latency: 0.5532920360565186
st:1639093026.7853289 | et: 1639093027.34788 | latency: 0.5625510215759277
st:1639093026.7876768 | et: 1639093027.357297 | latency: 0.5696201324462891
st:1639093026.788361 | et: 1639093027.345014 | latency: 0.5566530227661133
st:1639093026.794781 | et: 1639093027.366266 | latency: 0.5714850425720215
st:1639093026.795477 | et: 1639093027.3820019 | latency: 0.5865249633789062
st:1639093026.799658 | et: 1639093027.4602518 | latency: 0.6605937480926514
st:1639093026.7907798 | et: 1639093027.461545 | latency: 0.6707651615142822
st:1639093026.780852 | et: 1639093027.4680269 | latency: 0.6871747970581055
st:1639093026.7984881 | et: 1639093027.471673 | latency: 0.673184871673584
st:1639093026.912836 | et: 1639093027.468974 | latency: 0.5561380386352539
st:1639093026.913409 | et: 1639093027.4725661 | latency: 0.559157133102417
st:1639093026.79153 | et: 1639093027.469949 | latency: 0.6784191131591797
st:1639093026.797784 | et: 1639093027.470784 | latency: 0.6729998588562012
st:1639093026.783159 | et: 1639093027.473569 | latency: 0.6904098987579346
st:1639093026.7962391 | et: 1639093027.482935 | latency: 0.6866958141326904
st:1639093026.8002298 | et: 1639093027.480476 | latency: 0.680246114730835
st:1639093026.800937 | et: 1639093027.484158 | latency: 0.6832211017608643
st:1639093026.7932281 | et: 1639093027.479404 | latency: 0.6861758232116699
st:1639093026.925898 | et: 1639093027.488307 | latency: 0.5624089241027832
